SIRA;Adi Soyadi;TN;MN;FN;SN;IN;DN;PUAN;Okul;Not
1;OGRENCI-187;17.33;20;18.67;8.67;10;10;472;OKUL-927;
2;OGRENCI-199;18.67;19;14.67;8.67;8.67;8.67;447.33;OKUL-279;
3;OGRENCI-292;17.33;17.33;17.33;8.67;8.67;10;445.33;OKUL-830;
4;OGRENCI-962;16;20;14.67;10;8.67;8.67;442.67;OKUL-495;
5;OGRENCI-201;16;18.67;17.33;8.67;7.33;8.67;438.67;OKUL-982;
6;OGRENCI-798;17.33;14.67;18.67;7.33;8.67;7.33;425.33;OKUL-705;
7;OGRENCI-914;14.67;17.33;18.67;7.33;6;10;422.67;OKUL-646;
8;OGRENCI-136;16;18.67;14.67;7.33;7.33;10;422.67;OKUL-647;
9;OGRENCI-955;17.33;15;17.33;6;7.33;8.67;414;OKUL-529;
10;OGRENCI-820;17.33;16.67;12.33;7.33;10;8.67;412.33;OKUL-493;
11;OGRENCI-642;16.33;14.33;14;7.67;10;10;404.67;OKUL-587;
12;OGRENCI-297;13.67;18;13.33;8.67;7.33;8.67;400.67;OKUL-883;
13;OGRENCI-465;16;16.33;10.67;7.33;10;10;396.67;OKUL-303;
14;OGRENCI-940;16.33;13.33;14;7.33;8.67;9;391.33;OKUL-521;
15;OGRENCI-117;13.33;16.33;13.67;7.33;7.33;10;387.67;OKUL-783;
16;OGRENCI-947;14.67;14.67;12;8.67;8.67;10;386.67;OKUL-250;
17;OGRENCI-898;14.67;16;12;7.33;7.33;10;385.33;OKUL-782;
18;OGRENCI-885;16;12.67;16;6.33;7.33;7.33;384;OKUL-881;
19;OGRENCI-439;14.67;12.33;15.33;7.33;8.67;10;384;OKUL-644;
20;OGRENCI-767;12;16.33;13.33;7.33;8.67;10;382;OKUL-658;
21;OGRENCI-677;13.33;17.67;10.67;8.67;6;8.67;379.33;OKUL-161;
22;OGRENCI-965;14.67;14.67;14.67;3.33;8.67;10;378.67;OKUL-447;
23;OGRENCI-984;14.67;12;14.67;7.33;8.67;8.67;376;OKUL-606;
24;OGRENCI-828;17.33;10;9.33;10;10;10;370.67;OKUL-204;
25;OGRENCI-976;17.33;14.67;11.33;6;3.33;8.67;370;OKUL-460;
26;OGRENCI-348;16;11.67;16;6;3.33;10;370;OKUL-821;
27;OGRENCI-658;16;11.67;12;7.33;6;10;363.33;OKUL-579;
28;OGRENCI-531;17.33;9.67;11;10;3.33;10;357;OKUL-948;
29;OGRENCI-339;15.33;13.67;8.33;6;8.67;8.67;353;OKUL-820;
30;OGRENCI-372;18.67;6;12;8.67;7.33;8.67;352;OKUL-493;
31;OGRENCI-916;12;14.67;12;4;8.67;10;352;OKUL-150;
32;OGRENCI-339;14.67;10;12;8.67;7.33;7.33;349.33;OKUL-674;
